stat,tx,sampling,measurement,value
coef.var2,Drought,Day 11,sla,0.346701079
coef.var3,Drought,Day 22,sla,0.368546969
coef.var4,Wet,Day 11,sla,0.286791409
coef.var5,Wet,Day 22,sla,0.289383818
coef.var,Ambient,Day 11,surfarea,0.16627302
coef.var1,Ambient,Day 22,surfarea,0.054238725
coef.var2,Drought,Day 11,surfarea,0.549953061
coef.var3,Drought,Day 22,surfarea,0.359208469
coef.var4,Wet,Day 11,surfarea,0.48152996
coef.var5,Wet,Day 22,surfarea,0.071980795
coef.var,Ambient,Day 11,taprootlnth,0.283176665
coef.var1,Ambient,Day 22,taprootlnth,0.127541807
coef.var2,Drought,Day 11,taprootlnth,0.472857096
coef.var3,Drought,Day 22,taprootlnth,0.394460357
coef.var4,Wet,Day 11,taprootlnth,0.472750955
coef.var5,Wet,Day 22,taprootlnth,0.142014586
coef.var,Ambient,Day 11,thorns,0.322748612
coef.var1,Ambient,Day 22,thorns,0.160077696
coef.var2,Drought,Day 11,thorns,1.290994449
coef.var3,Drought,Day 22,thorns,0.636983593
coef.var4,Wet,Day 11,thorns,1.054092553
coef.var5,Wet,Day 22,thorns,0.149071198
coef.var,Ambient,Day 11,tips,0.385663977
coef.var1,Ambient,Day 22,tips,0.358107164
coef.var2,Drought,Day 11,tips,0.867223603
coef.var3,Drought,Day 22,tips,0.57736003
coef.var4,Wet,Day 11,tips,0.561195219
coef.var5,Wet,Day 22,tips,0.198888319
coef.var,Ambient,Day 11,totlflts,0.27149479
coef.var1,Ambient,Day 22,totlflts,0.125903071
coef.var2,Drought,Day 11,totlflts,1.336637368
coef.var3,Drought,Day 22,totlflts,0.642637304
coef.var4,Wet,Day 11,totlflts,0.757306014
coef.var5,Wet,Day 22,totlflts,0.110220478
coef.var,Ambient,Day 11,totrootlnth,0.294724828
coef.var1,Ambient,Day 22,totrootlnth,0.236197761
coef.var2,Drought,Day 11,totrootlnth,0.589867636
coef.var3,Drought,Day 22,totrootlnth,0.524174064
coef.var4,Wet,Day 11,totrootlnth,0.563821988
coef.var5,Wet,Day 22,totrootlnth,0.180599844
coef.var,Ambient,Day 11,trans,0.211884059
coef.var1,Ambient,Day 22,trans,0.18562678
coef.var2,Drought,Day 11,trans,0.401146364
coef.var3,Drought,Day 22,trans,0.577256098
coef.var4,Wet,Day 11,trans,0.209487876
coef.var5,Wet,Day 22,trans,0.320599384
coef.var,Ambient,Day 11,truelvs,0.225876976
coef.var1,Ambient,Day 22,truelvs,0.132250807
coef.var2,Drought,Day 11,truelvs,1.355261854
coef.var3,Drought,Day 22,truelvs,0.606968483
coef.var4,Wet,Day 11,truelvs,0.7200823
