date,tx,rep,depth,moisture
5/14/2018 0:00,control,1,5,0.0221
5/14/2018 0:00,drought,1,5,0.0257
5/14/2018 0:00,wet,1,5,0.0279
5/14/2018 0:00,control,2,5,0.0308
5/14/2018 0:00,drought,2,5,0.033
5/14/2018 0:00,wet,2,5,0.0199
5/14/2018 0:00,control,1,20,0.0395
5/14/2018 0:00,drought,1,20,0.0279
5/14/2018 0:00,wet,1,20,0.046
5/14/2018 0:00,control,2,20,0.0802
5/14/2018 0:00,drought,2,20,0.0446
5/14/2018 0:00,wet,2,20,0.0322
